Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5OMUXgfXsSukZ0zxelpC3b,"Raanjhanaa (From ""Raanjhanaa"")","Raanjhanaa (Original Motion Picture Soundtrack)","A.R. Rahman;Jaswinder Singh;Shiraz Uppal",2013-05-31,254100,76,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-19T02:34:32Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,qawwali","Sony Music Entertainment India Pvt. Ltd.",0.673,0.714,9,-8.042,1,0.039,0.111,0,0.0858,0.78,112.941,4
spotify:track:1wnozUBSe7OMpmZiTPJC5j,"Tum Tak (From ""Raanjhanaa"")","Raanjhanaa (Original Motion Picture Soundtrack)","A.R. Rahman;Javed Ali;KIRTI SAGATHIA;Pooja AV",2013-05-31,304459,75,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-19T02:34:48Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,qawwali,desi,desi pop","Sony Music Entertainment India Pvt. Ltd.",0.72,0.621,2,-9.773,1,0.0491,0.676,0,0.0679,0.566,114.987,4
spotify:track:7tp4iYvcZksGp1u7feUrrO,"Mitti Di Khushboo","Mitti Di Khushboo","Rochak Kohli;Ayushmann Khurrana",2014-10-08,247222,66,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-19T02:35:17Z,"bollywood,hindi pop","T-Series",0.64,0.754,6,-4.873,0,0.0392,0.395,0,0.209,0.355,94.989,4
spotify:track:47RTQoh3pzjhWLUMllNRRJ,"Deewaana Deewaana","Tere Ishk Mein","A.R. Rahman;Irshad Kamil",2025-11-12,337233,81,false,315aj5ynxzdosgt33gykrn6z74oe,2026-02-24T06:03:26Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,desi","T-Series",0.665,0.852,11,-5.494,0,0.0416,0.152,0.000413,0.337,0.745,136.012,3
spotify:track:0RJ7HhnQxJEOpGC5Htmez4,"Iktara","Wake Up Sid (Original Motion Picture Soundtrack) [Deluxe Edition]","Amit Trivedi;Kavita Seth;Amitabh Bhattacharya",2009,252573,72,false,315aj5ynxzdosgt33gykrn6z74oe,2026-03-11T22:44:24Z,"bollywood,hindi pop,gujarati garba,desi,hindi indie,indian indie,ghazal,sufi","Sony Music Entertainment India Pvt. Ltd.",0.593,0.528,7,-7.173,1,0.0266,0.409,0.000326,0.327,0.406,80.056,4
spotify:track:0gPgdRfB4jdGrlyXS0Vx78,"Khuda Jaane","Bachna Ae Haseeno","Vishal-Shekhar;KK;Shilpa Rao;Anvita Dutt Guptan",2008-07-05,333583,78,false,315aj5ynxzdosgt33gykrn6z74oe,2026-03-11T22:44:29Z,"bollywood,desi,hindi pop","YRF Music",0.404,0.634,8,-5.979,1,0.0398,0.411,0.000526,0.106,0.702,78.508,4
spotify:track:2dDHtDrDaxTB7QR6EoCSne,"Saibo","Shor in the City (Original Motion Picture Soundtrack)","Sachin-Jigar;Shreya Ghoshal;Tochi Raina",2011-03-28,195253,79,false,315aj5ynxzdosgt33gykrn6z74oe,2026-03-28T05:50:02Z,"gujarati pop,bollywood,hindi pop,desi,gujarati garba,kannada pop,marathi pop,sufi","Sony Music Entertainment India Pvt. Ltd.",0.619,0.429,2,-7.867,1,0.028,0.738,0.0000135,0.136,0.545,90.058,4
spotify:track:4rSmmC6OYmjVOYxr8ruVWN,"Mere Bina","Crook (Original Motion Picture Soundtrack)","Pritam;Nikhil D'Souza",2010-09-03,289560,72,false,315aj5ynxzdosgt33gykrn6z74oe,2026-03-30T11:44:45Z,"bollywood,hindi pop,desi,hindi indie,indian indie","Sony Music Entertainment India Pvt. Ltd.",0.511,0.767,2,-5.699,1,0.0524,0.651,0,0.153,0.463,79.923,4
