id,name,album,artists,main_artist,genres,year,release_date,popularity,explicit,record_label,playlists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
13Pktl7g59iaQPuoYwows8,Mumal,"Discovery Of India Rajasthan, Vol. 2",Kohinoor Langa,Kohinoor Langa,folk,2006,2006-01-31,41,0,Saregama India Ltd,Liked_Songs,0.364,0.845,5,-6.26,1,0.103,0.845,0.0,0.112,0.597,91.786,4,395586
4FeczSomVWVyU4FW7xDeAI,Tere Bina,Guru (Original Motion Picture Soundtrack),A.R. Rahman;Chinmayi;Murtuza Khan;Qadir Khan,A.R. Rahman,"tamil pop,kollywood,bollywood,sufi,hindi pop,marathi pop,tollywood,telugu pop",2006,2006-09-11,79,0,Sony Music Entertainment India Pvt. Ltd.,Liked_Songs,0.744,0.7,2,-7.663,1,0.0375,0.278,0.000155,0.068,0.867,144.033,4,309640
0ShD5dxdAfDHx01sm20ybX,Meri Kahani,Meri Kahani,Atif Aslam,Atif Aslam,"bollywood,hindi pop,desi,sufi,qawwali",2007,2007-01-16,67,0,Tips Music Limited,Liked_Songs,0.551,0.779,4,-6.335,1,0.0639,0.182,1.37e-06,0.361,0.734,145.119,4,192920
10rTRsKQDEke6Dd1Qj57Jd,Toh Phir Aao,Awarapan (Original Motion Picture Soundtrack),Pritam;Mustafa Zahid;Sayeed Quadri,Pritam,"bollywood,hindi pop,desi,sufi",2007,2007-06-29,76,0,Sony Music / Vishesh Films,Indie_Beats,0.459,0.563,9,-6.369,0,0.0263,0.39,1.98e-06,0.107,0.0961,101.996,4,348280
2BHj31ufdEqVK5CkYDp9mA,Mayonaka no Door / Stay With Me,Miki Matsubara Best Collection,Miki Matsubara,Miki Matsubara,"city pop,j-pop",2008,2008,16,0,PONY CANYON INC.,YaNiMe,0.658,0.747,5,-6.615,1,0.0431,0.176,8.49e-06,0.0789,0.792,108.259,4,312293
2jl6Q8JftB6svtHUFCmq21,Shree Hari Stotram,Holy Chants On Vishnu And Mahalakshmi,G. Gayathri Devi;Saindhavi;PRIYA;R. Shruti,G. Gayathri Devi,"devotional,bhajan,tamil pop,kollywood,tamil dance",2008,2008-01-01,61,0,Divo Tv Private Limited,Liked_Songs,0.813,0.445,2,-10.422,0,0.0596,0.2,0.0,0.127,0.63,127.965,5,278726
0gPgdRfB4jdGrlyXS0Vx78,Khuda Jaane,Bachna Ae Haseeno,Vishal-Shekhar;KK;Shilpa Rao;Anvita Dutt Guptan,Vishal-Shekhar,"bollywood,desi,hindi pop",2008,2008-07-05,78,0,YRF Music,Hindie,0.404,0.634,8,-5.979,1,0.0398,0.411,0.000526,0.106,0.702,78.508,4,333583
0RJ7HhnQxJEOpGC5Htmez4,Iktara,Wake Up Sid (Original Motion Picture Soundtrack) [Deluxe Edition],Amit Trivedi;Kavita Seth;Amitabh Bhattacharya,Amit Trivedi,"bollywood,hindi pop,gujarati garba,desi,hindi indie,indian indie,ghazal,sufi",2009,2009,72,0,Sony Music Entertainment India Pvt. Ltd.,Hindie,0.593,0.528,7,-7.173,1,0.0266,0.409,0.000326,0.327,0.406,80.056,4,252573
4rSmmC6OYmjVOYxr8ruVWN,Mere Bina,Crook (Original Motion Picture Soundtrack),Pritam;Nikhil D'Souza,Pritam,"bollywood,hindi pop,desi,hindi indie,indian indie",2010,2010-09-03,72,0,Sony Music Entertainment India Pvt. Ltd.,Hindie,0.511,0.767,2,-5.699,1,0.0524,0.651,0.0,0.153,0.463,79.923,4,289560
1qqXMmngkS2Xv77URY2R51,Nindiya Re - Studio Recording,Coke Studio Sessions: Season 4 (Studio Recording),Kaavish;Rohail Hyatt,Kaavish,"hindi indie,indian indie,ghazal,sufi,desi,qawwali",2011,2011-05-19,49,0,Frequency Media Private Limited,Indie_Beats,0.529,0.26,4,-12.345,1,0.0268,0.813,3.48e-05,0.111,0.378,88.05,4,301000
3C0nOe05EIt1390bVABLyN,On The Floor,Love?,Jennifer Lopez;Pitbull,Jennifer Lopez,,2011,2011-04-29,93,0,Nuyorican Productions / IDJ,Phonk,0.73,0.777,3,-5.194,0,0.0496,0.105,0.000486,0.0691,0.575,130.003,4,284866
0KSOLEBixnBYIKNHF1VbzF,Hona Tha Pyar,Bol (Original Motion Picture Soundtrack),Atif Aslam;Hadiqa Kiani,Atif Aslam,"bollywood,hindi pop,desi,sufi,qawwali,ghazal",2011,2011-06-05,74,0,Tips Music Limited,Liked_Songs,0.687,0.542,4,-8.689,1,0.0307,0.571,0.0307,0.118,0.782,102.994,4,221986
2dDHtDrDaxTB7QR6EoCSne,Saibo,Shor in the City (Original Motion Picture Soundtrack),Sachin-Jigar;Shreya Ghoshal;Tochi Raina,Sachin-Jigar,"gujarati pop,bollywood,hindi pop,desi,gujarati garba,kannada pop,marathi pop,sufi",2011,2011-03-28,79,0,Sony Music Entertainment India Pvt. Ltd.,Hindie,0.619,0.429,2,-7.867,1,0.028,0.738,1.35e-05,0.136,0.545,90.058,4,195253
1CTFgZCW0ljb0P4mv7hzQU,Mora Saiyaan,Classic Love,Fuzon,Fuzon,"sufi,desi pop,ghazal,hindi indie,indian indie",2012,2012-01-01,45,0,Virgin Records (India) Pvt Ltd.,Folklore,0.652,0.516,6,-9.946,1,0.0315,0.33,0.00073,0.0918,0.417,80.093,4,412266
1GSPV6AYG8NrtpgqhWx893,HARUKAZE,Queens are trumps -切り札はクイーン-,SCANDAL,SCANDAL,"j-rock,anime,j-pop",2012,2012-09-26,44,0,Sony Music Labels Inc.,YaNiMe,0.459,0.872,4,-0.987,1,0.053,0.0505,0.0,0.166,0.579,82.61,4,277280
1CVqr5LImdmJ1Upt4z08Pm,Tu Hi Mera,Jannat 2 (Original Motion Picture Soundtrack),Pritam;Shafqat Amanat Ali;Sayeed Quadri,Pritam,"bollywood,hindi pop,desi,sufi",2012,2012-03-30,77,0,Sony Music Entertainment India Pvt. Ltd.,Liked_Songs,0.621,0.859,11,-4.673,1,0.102,0.546,0.0,0.11,0.873,90.047,4,272973
2OvldWM8rVnp7QCn9eCrr1,Phir Le Aya Dil,Barfi! (Original Motion Picture Soundtrack),Pritam;Rekha Bhardwaj;Sayeed Quadri,Pritam,"bollywood,hindi pop,desi,ghazal,sufi",2012,2012-06-24,61,0,UTV,Liked_Songs,0.426,0.432,0,-9.667,1,0.0353,0.844,8.79e-05,0.13,0.615,77.004,4,285000
1qm4W0HboioIBvqKcR4KRN,Zariya,Coke Studio @ MTV Season 3: Episode 1,A.R. Rahman;Farah Siraj;Ani Choying Drolma,A.R. Rahman,"tamil pop,kollywood,bollywood,sufi,hindi pop",2013,2013-08-17,44,0,Sony Music Entertainment India Pvt. Ltd.,Folklore,0.396,0.736,4,-6.291,1,0.0607,0.297,0.384,0.153,0.0356,102.012,4,432893
5UHvVfewZKxwoB6gdhSFtr,Monta Re,Lootera,Swanand Kirkire;Amitabh Bhattacharya;Amit Trivedi,Swanand Kirkire,"bollywood,bhajan,ghazal,hindi pop,desi,gujarati garba",2013,2013-05-29,61,0,T-Series,Liked_Songs,0.718,0.295,4,-11.098,1,0.0567,0.918,0.00454,0.0954,0.751,150.054,3,237614
1wnozUBSe7OMpmZiTPJC5j,"Tum Tak (From ""Raanjhanaa"")",Raanjhanaa (Original Motion Picture Soundtrack),A.R. Rahman;Javed Ali;KIRTI SAGATHIA;Pooja AV,A.R. Rahman,"tamil pop,kollywood,bollywood,sufi,hindi pop,qawwali,desi,desi pop",2013,2013-05-31,75,0,Sony Music Entertainment India Pvt. Ltd.,Hindie,0.72,0.621,2,-9.773,1,0.0491,0.676,0.0,0.0679,0.566,114.987,4,304459
5OMUXgfXsSukZ0zxelpC3b,"Raanjhanaa (From ""Raanjhanaa"")",Raanjhanaa (Original Motion Picture Soundtrack),A.R. Rahman;Jaswinder Singh;Shiraz Uppal,A.R. Rahman,"tamil pop,kollywood,bollywood,sufi,hindi pop,qawwali",2013,2013-05-31,76,0,Sony Music Entertainment India Pvt. Ltd.,Hindie,0.673,0.714,9,-8.042,1,0.039,0.111,0.0,0.0858,0.78,112.941,4,254100
48ZZ4P71WmMID03EmZGe23,Tujhse Naraz Nahi Zindagi,Tujhse Naraz Nahi Zindagi - Sanam,Sanam;R. D. Burman,Sanam,"hindi pop,desi pop,ghazal,bollywood",2014,2014-10-31,59,0,Saregama India Ltd,Samui,0.69,0.266,8,-9.693,1,0.0263,0.929,0.00953,0.112,0.453,102.025,4,237695
1eMxTvBQEeBAxQDC2ZBld1,Ek Ladki Ko Dekha To,Ek Ladki Ko Dekha To - Sanam,Sanam;R. D. Burman,Sanam,"hindi pop,desi pop,ghazal,bollywood",2014,2014-08-31,45,0,Saregama India Ltd,Samui,0.465,0.309,0,-9.211,1,0.0406,0.861,0.0,0.212,0.183,106.922,5,216000
6jTL6ZjxSH12hS9Djhlm9r,Main Hoon,Main Hoon,Sanam,Sanam,"hindi pop,desi pop",2014,2014-04-25,47,0,Sony Music Entertainment India Pvt. Ltd.,Samui,0.615,0.519,2,-5.995,0,0.0358,0.0917,2.63e-05,0.107,0.306,127.879,4,218755
75Vzzn0vgWqDxswFQJ0IGb,Laage Re,Culture Code Landscape,Aditya Balani;Suhail Yusuf Khan,Aditya Balani,"indian indie,hindi indie",2014,2014-04-16,17,0,Adi & Suhail,Folklore,0.261,0.191,0,-15.652,1,0.0293,0.0809,0.0457,0.0912,0.107,84.967,4,350294
2mVqfKbKGmxVXlVswhlI5T,Chaap Tilak,Coke Studio Season 7,Abida Parveen;Rahat Fateh Ali Khan,Abida Parveen,"sufi,qawwali,ghazal,bollywood,hindi pop,desi",2014,2014-11-23,48,0,Mainstage Productions,Folklore,0.544,0.679,1,-5.105,0,0.0456,0.494,0.0,0.12,0.388,123.955,4,532300
7tp4iYvcZksGp1u7feUrrO,Mitti Di Khushboo,Mitti Di Khushboo,Rochak Kohli;Ayushmann Khurrana,Rochak Kohli,"bollywood,hindi pop",2014,2014-10-08,66,0,T-Series,Hindie,0.64,0.754,6,-4.873,0,0.0392,0.395,0.0,0.209,0.355,94.989,4,247222
2Q6Eo7zJ3woi7oVUkfDt1W,Aap Ki Nazron Ne Samjha,Aap Ki Nazron Ne Samjha - Sanam,Sanam,Sanam,"hindi pop,desi pop",2014,2014-09-30,58,0,Saregama India Ltd,Samui,0.362,0.361,1,-5.497,0,0.0296,0.816,0.0,0.138,0.484,93.463,1,186737
1ApfHqjOoBmJZ0SjdjzVyA,Yeh Raaten Yeh Mausam,Yeh Raaten Yeh Mausam - Sanam And Simran Shgal,Sanam;Simran Sehgal,Sanam,"hindi pop,desi pop",2014,2014-11-30,67,0,Saregama India Ltd,Samui,0.692,0.319,5,-7.743,0,0.0327,0.895,1.78e-06,0.108,0.658,151.069,3,208943
733B0eINqwUqzV49kNRPPA,Lag Ja Gale,Lag Ja Gale - Sanam,Sanam,Sanam,"hindi pop,desi pop",2014,2014-07-15,63,0,Saregama India Ltd,Samui,0.393,0.32,8,-8.648,1,0.0303,0.857,1.09e-05,0.0917,0.457,135.026,3,240953
3EeC1BTkbzslVjW4assPdu,Mere Sapnon Ki Rani Kab Aayege Tu,Mere Sapnon Ki Rani Kab Aayege Tu - Sanam,Sanam;S. D. Burman,Sanam,"hindi pop,desi pop,ghazal",2014,2014-12-31,54,0,Saregama India Ltd,Samui,0.757,0.614,11,-5.582,0,0.0359,0.475,0.0,0.222,0.805,130.009,4,234528
5sPKAEb7afrIMtdqEnI6H6,Young Girl A,Alive,Siinamota,Siinamota,vocaloid,2015,2015-03-04,71,0,U/M/A/A Inc.,YaNiMe,0.629,0.804,2,-5.987,1,0.103,0.0169,0.000497,0.177,0.294,130.006,4,221500
3UQU1xGAfYokAofQ4KzJeN,Roop Tera Mastana,Roop Tera Mastana - Sanam,Sanam;S. D. Burman,Sanam,"hindi pop,desi pop,ghazal",2015,2015-07-31,49,0,Saregama India Ltd,Samui,0.724,0.648,7,-5.747,1,0.0541,0.498,1.26e-06,0.124,0.77,84.013,4,179285
0rlLBWFFTQiOWi963SH9bb,Choo Lo,Aalas Ka Pedh,The Local Train,The Local Train,"indian indie,hindi indie",2015,2015-09-25,73,0,The Local Train,Indie_Beats,0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.956,4,233630
0uAjnsZ6ZwvQvl7lhYM2KF,Kuchh Na Kaho,Kuchh Na Kaho - Sanam And Shirley Setia,Sanam;Shirley Setia;R. D. Burman,Sanam,"hindi pop,desi pop,bollywood,ghazal",2015,2015-06-30,50,0,Saregama India Ltd,Samui,0.411,0.321,10,-8.462,1,0.0276,0.843,6.04e-05,0.133,0.396,154.826,3,235680
3WVtOC0yQGiifTSeESXIrw,O Mere Dil Ke Chain,O Mere Dil Ke Chain - Sanam,Sanam;R. D. Burman,Sanam,"hindi pop,desi pop,ghazal,bollywood",2015,2015-06-30,65,0,Saregama India Ltd,Samui,0.784,0.639,11,-7.309,0,0.0383,0.217,1.64e-06,0.0899,0.705,122.006,4,202622
3MPHub8AYXBHMEqJa4yrGc,Mere Mehboob Qayamat Hogi,Mere Mehboob Qayamat Hogi - Sanam,Sanam;Laxmikant–Pyarelal,Sanam,"hindi pop,desi pop,ghazal",2015,2015-06-30,64,0,Saregama India Ltd,Samui,0.703,0.578,11,-6.314,0,0.0285,0.156,1.22e-06,0.437,0.562,105.933,4,241132
14LF3GvwXBGk6x8ZX7vtdd,Kora Kagaz - Duet,Kora Kagaz - Sanam Ft. Sanah Moidutty,Sanam;Sanah Moidutty;S. D. Burman,Sanam,"hindi pop,desi pop,malayalam pop,indian indie,ghazal",2015,2015-08-31,43,0,Saregama India Ltd,Samui,0.522,0.429,0,-9.064,1,0.0311,0.723,0.0,0.111,0.556,179.933,3,203990
1FXrYwvWwjmbw8cqFC1OWz,Kokoronashi,Contrast,majiko,majiko,"j-pop,anime,j-rock",2015,2015-04-15,61,0,EXIT TUNES,YaNiMe,0.528,0.593,1,-3.68,1,0.0545,0.289,0.00054,0.0724,0.351,167.238,4,273583
7pbF3jhnwASjMxeItgHP1S,Lat Ulajhi,Classical Unwind,Ankita Joshi,Ankita Joshi,"bhajan,devotional,ghazal",2016,2016-08-12,30,0,Strumm Entertainment,Folklore,0.592,0.572,10,-10.582,1,0.122,0.772,0.0,0.0966,0.298,76.314,4,239813
