genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,count
flamenco urbano,0.832,0.754,1.0,-8.045,1.0,0.192,0.00494,0.0,0.14,0.633,108.016,4.0,151274.0,62.0,1
city pop,0.658,0.747,5.0,-6.615,1.0,0.0431,0.176,8.49e-06,0.0789,0.792,108.259,4.0,312293.0,16.0,1
dub,0.532,0.95,8.0,-5.976,0.0,0.519,0.0243,1.39e-06,0.107,0.24,174.659,5.0,171428.0,36.0,1
electronic,0.53,0.82,4.0,-4.936,0.0,0.0438,0.154,2.71e-06,0.14,0.355,171.933,4.0,128372.0,68.0,1
chicago house,0.479,0.665,8.0,-8.489,1.0,0.105,0.734,8.21e-06,0.425,0.589,84.76,4.0,269647.0,6.0,1
deep house,0.549,0.749,2.0,-8.636,1.0,0.0364,0.169,0.349,0.132,0.126,124.041,4.0,254516.0,67.0,1
cloud rap,0.619,0.824,5.0,-7.437,1.0,0.0459,0.00535,0.719,0.388,0.32,116.072,4.0,84846.0,72.0,1
afro house,0.87,0.944,9.0,-4.525,1.0,0.0464,0.394,0.243,0.0398,0.635,121.979,4.0,156393.0,92.0,1
hard techno,0.685,0.968,11.0,-5.844,1.0,0.0517,0.00111,0.705,0.203,0.428,140.055,4.0,157714.0,46.0,1
latin house,0.87,0.944,9.0,-4.525,1.0,0.0464,0.394,0.243,0.0398,0.635,121.979,4.0,156393.0,92.0,1
kizomba,0.686,0.85,4.0,-2.753,0.0,0.0725,0.106,1.63e-06,0.512,0.323,137.998,4.0,121739.0,82.0,1
italo dance,0.336,0.935,2.0,-3.527,1.0,0.0727,0.00116,0.000121,0.319,0.235,143.892,4.0,153125.0,66.0,1
norwegian pop,0.6,0.867,2.0,-4.37,1.0,0.0497,0.0016,0.526,0.203,0.55,174.042,4.0,136946.0,38.0,1
new wave,0.563,0.383,6.0,-15.474,1.0,0.0305,0.144,0.116,0.138,0.589,93.751,3.0,206760.0,79.0,1
new rave,0.697,0.87,10.0,-4.922,0.0,0.406,0.018,0.000927,0.372,0.644,141.92,4.0,127634.0,52.0,1
melodic techno,0.549,0.749,2.0,-8.636,1.0,0.0364,0.169,0.349,0.132,0.126,124.041,4.0,254516.0,67.0,1
khaleeji,0.832,0.754,1.0,-8.045,1.0,0.192,0.00494,0.0,0.14,0.633,108.016,4.0,151274.0,62.0,1
soundtrack,0.582,0.831,0.0,-5.125,1.0,0.0384,0.000289,1.13e-05,0.369,0.326,138.064,4.0,276746.0,65.0,1
proto-punk,0.563,0.383,6.0,-15.474,1.0,0.0305,0.144,0.116,0.138,0.589,93.751,3.0,206760.0,79.0,1
rap,0.841,0.593,1.0,-7.846,1.0,0.0379,0.418,0.0,0.124,0.808,124.917,4.0,162802.0,76.0,1
traditional folk,0.613,0.487,2.0,-10.833,1.0,0.0473,0.788,0.337,0.104,0.477,90.029,4.0,382666.0,24.0,1
tech house,0.547,0.616,9.0,-6.451,0.0,0.043,0.0396,0.000144,0.13,0.0661,129.979,4.0,184649.0,59.0,1
techengue,0.87,0.944,9.0,-4.525,1.0,0.0464,0.394,0.243,0.0398,0.635,121.979,4.0,156393.0,92.0,1
techno,0.634,0.824,2.0,-3.394,0.0,0.047,0.0908,0.0711,0.119,0.371,137.959,4.0,178156.0,81.0,1
uk funky,0.532,0.95,8.0,-5.976,0.0,0.519,0.0243,1.39e-06,0.107,0.24,174.659,5.0,171428.0,36.0,1
uk drill,0.777,0.934,2.0,-0.959,1.0,0.254,0.285,3.86e-05,0.275,0.637,88.009,4.0,166448.0,74.0,1
tropical house,0.384,0.658,10.0,-6.297,1.0,0.0484,0.582,1.65e-05,0.108,0.287,140.142,4.0,243428.0,51.0,1
vocaloid,0.629,0.804,2.0,-5.987,1.0,0.103,0.0169,0.000497,0.177,0.294,130.006,4.0,221500.0,71.0,1
