artists,genres,count,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
Apoorva Krishna,"['bhajan', 'bollywood', 'desi', 'devotional', 'marathi pop', 'tamil dance']",1,2.0,0.503,0.785,4.0,-5.826,1.0,0.187,0.263,4.07e-06,0.108,0.48,148.045,3.0,508364.0
Arijit Anand,"['hindi indie', 'indian indie']",1,44.0,0.702,0.326,1.0,-11.575,1.0,0.0313,0.731,0.000287,0.146,0.556,110.022,4.0,149749.0
Anand Bhaskar,"['bollywood', 'hindi pop', 'mollywood']",1,76.0,0.555,0.526,7.0,-9.507,1.0,0.0299,0.38,4.87e-05,0.106,0.34,144.939,3.0,350739.0
AndrezoWorks,['anime'],1,28.0,0.569,0.65,7.0,-5.585,1.0,0.0279,0.0757,0.0,0.346,0.16,135.15,4.0,96009.0
Anhad + Tanner,"['ghazal', 'hindi indie', 'indian indie']",1,18.0,0.547,0.513,2.0,-12.074,1.0,0.0299,0.591,0.528,0.0562,0.0748,127.953,4.0,294866.0
Ani Choying Drolma,"['bollywood', 'hindi pop', 'kollywood', 'sufi', 'tamil pop']",1,44.0,0.396,0.736,4.0,-6.291,1.0,0.0607,0.297,0.384,0.153,0.0356,102.012,4.0,432893.0
Aniket Shukla,"['hindi indie', 'indian indie']",1,62.0,0.468,0.246,4.0,-10.564,1.0,0.0284,0.902,0.0,0.0991,0.361,140.381,3.0,249062.0
Anirban Chowdhury,"['hindi indie', 'indian indie']",1,12.0,0.56,0.358,3.0,-7.655,1.0,0.0307,0.848,0.0,0.105,0.205,127.906,4.0,243750.0
Anish Kanchan,"['hindi indie', 'indian indie']",1,0.0,0.71,0.894,4.0,-5.363,1.0,0.0447,0.131,0.00235,0.0973,0.737,99.984,4.0,196798.0
Ankita Barwad,"['hindi indie', 'indian indie']",1,44.0,0.702,0.326,1.0,-11.575,1.0,0.0313,0.731,0.000287,0.146,0.556,110.022,4.0,149749.0
The Local Train,"['hindi indie', 'indian indie']",1,73.0,0.512,0.695,4.0,-6.349,1.0,0.0271,0.0265,0.00815,0.146,0.351,145.956,4.0,233630.0
The Stranglers,"['new wave', 'proto-punk']",1,79.0,0.563,0.383,6.0,-15.474,1.0,0.0305,0.144,0.116,0.138,0.589,93.751,3.0,206760.0
Tippu,"['bollywood', 'desi', 'hindi pop', 'kannada pop', 'kollywood', 'sandalwood', 'sufi', 'tamil dance', 'tamil indie', 'tamil pop', 'telugu pop', 'tollywood']",1,72.0,0.542,0.458,10.0,-8.886,0.0,0.0353,0.758,2.49e-05,0.138,0.437,87.467,4.0,236071.0
Torbahed,"['brazilian phonk', 'drift phonk', 'phonk']",1,65.0,0.601,0.917,3.0,-6.786,0.0,0.0473,0.0861,0.149,0.191,0.792,130.073,4.0,83995.0
Travis Scott,"['rap', 'slap house']",1,76.0,0.841,0.593,1.0,-7.846,1.0,0.0379,0.418,0.0,0.124,0.808,124.917,4.0,162802.0
Trihoof,"['brazilian phonk', 'g-house', 'phonk']",1,56.0,0.653,0.802,1.0,-4.06,0.0,0.0267,0.0199,0.00788,0.193,0.241,115.112,4.0,112619.0
Trishala Gurung,"['desi pop', 'hindi pop']",1,41.0,0.484,0.336,6.0,-9.275,1.0,0.0262,0.793,3.5e-05,0.118,0.295,173.848,4.0,260644.0
Anand Bakshi,"['bhangra', 'bollywood', 'desi', 'desi pop', 'ghazal', 'haryanvi pop', 'hindi pop', 'punjabi pop']",1,66.0,0.869,0.868,5.0,-4.407,0.0,0.0883,0.00592,0.00244,0.296,0.551,132.008,4.0,200159.0
TWISTED,"['drift phonk', 'phonk']",1,77.0,0.604,0.601,2.0,-7.887,0.0,0.0628,0.15,0.000579,0.168,0.156,139.88,4.0,164629.0
TXVSTERPLAYA,"['brazilian phonk', 'phonk']",1,68.0,0.652,0.891,10.0,1.808,0.0,0.0368,0.001,0.0148,0.336,0.576,100.265,4.0,93650.0
Taba Chake,"['bhajan', 'bollywood', 'hindi indie', 'indian indie']",1,19.0,0.544,0.624,2.0,-7.631,1.0,0.0409,0.431,1.54e-05,0.105,0.43,159.902,4.0,339000.0
Talwiinder,"['desi', 'desi hip hop', 'hindi hip hop', 'hindi indie', 'indian indie', 'punjabi hip hop', 'punjabi pop']",1,71.0,0.641,0.449,5.0,-9.568,0.0,0.162,0.133,6.39e-05,0.139,0.491,99.899,4.0,182400.0
Tanmay Maheshwari,"['ghazal', 'hindi indie', 'indian indie']",1,36.0,0.534,0.237,4.0,-13.074,1.0,0.0327,0.848,0.000283,0.118,0.296,135.781,4.0,187342.0
Tech Panda,"['desi', 'hindi indie', 'indian indie']",1,36.0,0.34,0.43,8.0,-12.279,0.0,0.142,0.745,8.03e-05,0.211,0.309,200.298,4.0,232806.0
Tejas R.H,['lo-fi'],1,52.0,0.303,0.349,11.0,-15.52,1.0,0.208,0.758,0.000169,0.363,0.337,180.246,4.0,130718.0
The Bundeli Artists,"['bhajan', 'devotional']",1,46.0,0.642,0.709,1.0,-10.928,0.0,0.0749,0.788,0.0284,0.391,0.788,80.419,4.0,278799.0
Wiguez,"['drum and bass', 'future bass', 'melodic bass']",1,56.0,0.286,0.898,5.0,-3.191,0.0,0.0769,0.0994,0.00218,0.0324,0.318,172.078,4.0,212859.0
Wintherduud,"['brazilian phonk', 'phonk']",1,69.0,0.914,0.577,1.0,-6.684,1.0,0.0702,0.69,0.946,0.101,0.465,104.999,4.0,99279.0
Xantesha,"['brazilian phonk', 'drift phonk', 'phonk']",1,60.0,0.74,0.934,10.0,-8.178,1.0,0.0384,0.063,0.831,0.198,0.261,119.693,4.0,138857.0
Y3LLAVISION,"['brazilian phonk', 'drift phonk', 'phonk']",1,65.0,0.601,0.917,3.0,-6.786,0.0,0.0473,0.0861,0.149,0.191,0.792,130.073,4.0,83995.0
YOASOBI,"['anime', 'j-pop']",1,65.0,0.747,0.666,5.0,-6.395,1.0,0.0324,0.146,0.000912,0.0981,0.731,90.008,4.0,258666.0
YUKA,['j-pop'],1,55.0,0.813,0.578,11.0,-4.035,0.0,0.0674,0.16,0.0,0.151,0.873,169.916,4.0,163466.0
Yaani Karnawat,"['hindi indie', 'indian indie']",1,71.0,0.568,0.416,2.0,-10.961,1.0,0.0304,0.459,1.89e-06,0.149,0.45,149.951,4.0,159600.0
Yashika Sikka,"['gujarati garba', 'gujarati pop', 'hindi indie', 'indian indie']",1,47.0,0.436,0.273,11.0,-10.587,1.0,0.0312,0.923,0.0064,0.145,0.28,139.896,4.0,246857.0
Vishal-Shekhar,"['bollywood', 'desi', 'hindi pop']",1,78.0,0.404,0.634,8.0,-5.979,1.0,0.0398,0.411,0.000526,0.106,0.702,78.508,4.0,333583.0
Vishnu Sunil,"['ghazal', 'indian indie']",1,8.0,0.572,0.38,0.0,-9.954,1.0,0.0307,0.524,2.74e-06,0.079,0.565,137.004,3.0,199000.0
Vishnu Vijay,"['kannada pop', 'malayalam hip hop', 'malayalam pop', 'mollywood', 'sandalwood']",1,58.0,0.814,0.571,0.0,-8.251,1.0,0.109,0.354,5.84e-05,0.137,0.513,97.994,4.0,184836.0
Vivek Hariharan,"['bollywood', 'ghazal', 'hindi indie']",1,12.0,0.483,0.69,4.0,-7.081,0.0,0.0494,0.227,0.00143,0.0956,0.322,130.006,5.0,226708.0
W.i.S.H.,"['desi hip hop', 'desi pop', 'hindi hip hop', 'indian indie']",1,49.0,0.807,0.712,6.0,-4.678,0.0,0.107,0.401,1.41e-05,0.0907,0.833,102.993,4.0,237378.0
WORMONO,['lo-fi'],1,52.0,0.303,0.349,11.0,-15.52,1.0,0.208,0.758,0.000169,0.363,0.337,180.246,4.0,130718.0
WXCHSXN,"['brazilian funk', 'brazilian phonk', 'funk', 'phonk']",1,62.0,0.96,0.692,2.0,-1.867,1.0,0.293,0.399,4.31e-06,0.103,0.911,129.974,4.0,99317.0
Wangden Sherpa,[],1,54.0,0.848,0.516,1.0,-6.183,0.0,0.0413,0.808,0.000326,0.0933,0.6,103.011,4.0,179417.0
VIBIE,"['bollywood', 'desi', 'gujarati garba', 'gujarati pop', 'hindi pop', 'kannada pop', 'lo-fi', 'marathi pop', 'sufi']",1,61.0,0.323,0.349,7.0,-12.524,1.0,0.0761,0.965,0.00548,0.116,0.2,180.203,4.0,146666.0
Vaibhav Gupta,"['bollywood', 'desi pop', 'hindi pop']",1,54.0,0.476,0.829,9.0,-5.187,0.0,0.209,0.115,0.0,0.172,0.25,171.057,4.0,226103.0
Varun Grover,"['bangla pop', 'bollywood', 'desi', 'ghazal', 'gujarati garba', 'gujarati pop', 'hindi indie', 'hindi pop', 'indian indie']",1,70.0,0.604,0.354,2.0,-6.716,1.0,0.0249,0.845,0.000148,0.0921,0.277,110.036,4.0,249818.0
Varun Jain,"['bollywood', 'desi', 'desi pop', 'gujarati garba', 'gujarati pop', 'hindi pop', 'sufi']",1,48.0,0.702,0.9,7.0,-5.191,1.0,0.0295,0.13,1.02e-05,0.0832,0.438,116.03,4.0,180080.0
Vaundy,"['anime', 'j-pop', 'j-rock', 'japanese indie']",1,52.0,0.718,0.476,7.0,-11.469,1.0,0.0623,0.853,0.786,0.105,0.684,157.034,4.0,230109.0
Vibha Saraf,"['bollywood', 'hindi indie', 'indian indie']",1,15.0,0.703,0.244,2.0,-18.637,1.0,0.0352,0.818,1.02e-05,0.329,0.516,126.092,4.0,174426.0
